,year,week,trip_cnt,Week number,number only,From Date,To Date
0,2019,1,32598,Week 01,1,12/31/2018,1/6/2019
1,2019,2,42894,Week 02,2,1/7/2019,1/13/2019
2,2019,3,35918,Week 03,3,1/14/2019,1/20/2019
3,2019,4,51741,Week 04,4,1/21/2019,1/27/2019
4,2019,5,49883,Week 05,5,1/28/2019,2/3/2019
5,2019,6,45304,Week 06,6,2/4/2019,2/10/2019
6,2019,7,42461,Week 07,7,2/11/2019,2/17/2019
7,2019,8,53470,Week 08,8,2/18/2019,2/24/2019
8,2019,9,46184,Week 09,9,2/25/2019,3/3/2019
9,2019,10,50772,Week 10,10,3/4/2019,3/10/2019
10,2019,11,66401,Week 11,11,3/11/2019,3/17/2019
11,2019,12,62055,Week 12,12,3/18/2019,3/24/2019
12,2019,13,60843,Week 13,13,3/25/2019,3/31/2019
13,2019,14,64263,Week 14,14,4/1/2019,4/7/2019
14,2019,15,72065,Week 15,15,4/8/2019,4/14/2019
15,2019,16,42176,Week 16,16,4/15/2019,4/21/2019
16,2019,17,45831,Week 17,17,4/22/2019,4/28/2019
17,2019,18,44690,Week 18,18,4/29/2019,5/5/2019
18,2019,19,43711,Week 19,19,5/6/2019,5/12/2019
19,2019,20,35321,Week 20,20,5/13/2019,5/19/2019
20,2019,21,41291,Week 21,21,5/20/2019,5/26/2019
21,2019,22,39312,Week 22,22,5/27/2019,6/2/2019
22,2020,1,24471,Week 01,1,12/30/2019,1/5/2020
23,2020,2,55715,Week 02,2,1/6/2020,1/12/2020
24,2020,3,61644,Week 03,3,1/13/2020,1/19/2020
25,2020,4,78970,Week 04,4,1/20/2020,1/26/2020
26,2020,5,97331,Week 05,5,1/27/2020,2/2/2020
27,2020,6,102570,Week 06,6,2/3/2020,2/9/2020
28,2020,7,105834,Week 07,7,2/10/2020,2/16/2020
29,2020,8,101033,Week 08,8,2/17/2020,2/23/2020
30,2020,9,110237,Week 09,9,2/24/2020,3/1/2020
31,2020,10,77026,Week 10,10,3/2/2020,3/8/2020
32,2020,11,50186,Week 11,11,3/9/2020,3/15/2020
33,2020,12,19465,Week 12,12,3/16/2020,3/22/2020
34,2020,13,14164,Week 13,13,3/23/2020,3/29/2020
35,2020,14,16680,Week 14,14,3/30/2020,4/5/2020
36,2020,15,16664,Week 15,15,4/6/2020,4/12/2020
37,2020,16,20891,Week 16,16,4/13/2020,4/19/2020
38,2020,17,24148,Week 17,17,4/20/2020,4/26/2020
39,2020,18,26115,Week 18,18,4/27/2020,5/3/2020
40,2020,19,27211,Week 19,19,5/4/2020,5/10/2020
41,2020,20,26405,Week 20,20,5/11/2020,5/17/2020
42,2020,21,34517,Week 21,21,5/18/2020,5/24/2020
43,2020,22,35846,Week 22,22,5/25/2020,5/31/2020
